,Name,City,Neighbourhood,Price,Year Built,Beds,Baths,Area,Price(per sqft),A/C
0,3324 Junction Blvd #5X,"Jackson Heights, NY 11372",Jackson Heights,"$285,000",Null,1 Bed,1 Bath,800 sqft,$356,Cooling only
1,37-26 32nd St #5K,"Long Island City, NY 11101",Astoria,"$620,000",Year Built: 2022,Studio,1 Bath,441 sqft,"$1,406",Cooling only
2,37-26 32nd St #3G,"Long Island City, NY 11101",Astoria,"$730,000",Year Built: 2022,1 Bed,1 Bath,579 sqft,"$1,261",Cooling only
3,37-26 32nd St #6L,"Long Island City, NY 11101",Astoria,"$570,000",Year Built: 2022,Studio,1 Bath,429 sqft,"$1,329",Cooling only
4,37-26 32nd St #3H,"Long Island City, NY 11101",Astoria,"$695,000",Year Built: 2022,1 Bed,1 Bath,632 sqft,"$1,100",No
5,4 E 88th St #5C,"New York, NY 10128",Carnegie Hill,"$1,200,000",Year Built: 1922,2 Beds,2 Baths,Null,No Info,No
6,2736 Independence Ave #6J,"Bronx, NY 10463",Spuyten Duyvil,"$235,995",Year Built: 1970,1 Bed,1 Bath,850 sqft,$278,No
7,216-02 67th Ave #D,"Oakland Gardens, NY 11364",Oakland Gardens,"$388,000",Null,2 Beds,2 Baths,Null,No Info,No
8,450 Jersey St,"Staten Island, NY 10301",New Brighton,"$1,300,000",Year Built: 1920,Studio,5 Baths,"6,300 sqft",$206,Heating & Cooling
9,1518 Canarsie Rd,"Brooklyn, NY 11236",Canarsie,"$925,000",Year Built: 1910,6 Beds,4 Baths,"1,816 sqft",$509,Heating & Cooling
10,77-14 113th Street UNIT 3C,"Forest Hills, NY 11375",Forest Hills,"$299,000",Year Built: 1938,1 Bed,1 Bath,Null,No Info,Heating & Cooling
11,86-19 115th Street,"Richmond Hill, NY 11418",Richmond Hill,"$619,000",Year Built: 1920,3 Beds,2 Baths,Null,No Info,Heating only
12,137-08 31st Rd #2,"Flushing, NY 11354",Flushing,"$628,000",Year Built: 2007,2 Beds,2 Baths,842 sqft,$746,No
13,97-40 62nd Dr #8F,"Rego Park, NY 11374",Rego Park,"$285,000",Year Built: 1955,1 Bed,1 Bath,Null,No Info,Heating only
14,117 E 57th St #41F,"New York, NY 10022",Midtown,"$752,400",Year Built: 1975,Studio,1 Bath,513 sqft,"$1,467",No
15,433 Monroe St,"Brooklyn, NY 11221",Bedford Stuyvesant,"$2,195,000",Year Built: 1899,5 Beds,4 Baths,"2,400 sqft",$915,Heating & Cooling
16,661 Amsterdam Ave #5E,"New York, NY 10025",Upper West Side,"$1,249,500",Year Built: 1940,2 Beds,2 Baths,"100,964 sqft (on 0.46 acres)",$12,No
17,6243 79th St,"Flushing, NY 11379",Middle Village,"$859,000",Year Built: 1940,2 Beds,2 Baths,880 sqft,$976,Heating only
18,99-12 199th Street,"Hollis, NY 11423",Hollis,"$775,000",Year Built: 1950,4 Beds,3 Baths,Null,No Info,Heating & Cooling
19,1619 3rd Ave #3B,"New York, NY 10128",Upper East Side,"$635,000",Year Built: 1975,Studio,1 Bath,528 sqft,"$1,203",Cooling only
20,2339 Matthews Ave #W,"Bronx, NY 10467",Williamsbridge,"$569,000",Year Built: 1950,5 Beds,2 Baths,Null,No Info,No
21,43 Joralemon St,"Brooklyn, NY 11201",Brooklyn Heights,"$4,500,000",Year Built: 1845,5 Beds,6 Baths,"3,192 sqft","$1,410",No
22,195 Classon Ave #5,"Brooklyn, NY 11205",Bedford Stuyvesant,"$1,395,000",Year Built: 2008,2 Beds,2 Baths,"1,185 sqft","$1,177",No
23,140 E 2nd St #6U,"Brooklyn, NY 11218",Windsor Terrace,"$595,000",Year Built: 1940,1 Bed,1 Bath,Null,No Info,No
24,410 Maryland Ave #1C,"Staten Island, NY 10305",Rosebank,"$279,900",Year Built: 1974,2 Beds,1 Bath,"1,100 sqft",$254,Heating & Cooling
25,2415 E 64th St,"Brooklyn, NY 11234",Mill Basin,"$1,089,000",Year Built: 1965,4 Beds,3 Baths,"1,899 sqft",$573,Heating & Cooling
26,150 E 69th St #3M,"New York, NY 10065",Upper East Side,"$1,825,000",Year Built: 1959,1 Bed,2 Baths,Null,No Info,Cooling only
27,321 E 43rd St #515,"New York, NY 10017",Turtle Bay,"$320,000",Year Built: 1928,Studio,1 Bath,Null,No Info,No
28,150-23 Hoover Avenue,"Jamaica, NY 11432",Briarwood,"$969,000",Year Built: 1945,4 Beds,2 Baths,Null,No Info,Heating only
29,3656 Johnson Ave #2G,"Bronx, NY 10463",Riverdale,"$179,000",Year Built: 1932,1 Bed,1 Bath,800 sqft,$224,No
30,180-16 Wexford Terrace UNIT 2F,"Jamaica, NY 11432",Jamaica Estates,"$550,000",Year Built: 1986,1 Bed,1 Bath,764 sqft,$720,Heating & Cooling
31,43-55 Kissena Blvd UNIT 3B,"Flushing, NY 11355",Flushing,"$575,000",Year Built: 1938,2 Beds,1 Bath,Null,No Info,Heating & Cooling
32,580 Carroll St #4C,"Brooklyn, NY 11215",Park Slope,"$1,600,000",Year Built: 2009,2 Beds,2 Baths,"1,275 sqft","$1,255",Cooling only
33,398 Kings Hwy #203,"Brooklyn, NY 11223",Gravesend,"$843,500",Year Built: 2022,2 Beds,2 Baths,"1,140 sqft",$740,Cooling only
